step,rebuild_triggered,last_true_target,prediction,error,threshold,feature_MLUT4_AIA792101B,feature_MLUT4_TE-252D,feature_MLUT4_FIC-231B,feature_MLUT4_AT-232A,feature_MLUT4_TE-252F,feature_MLUT4_FIC-231C,feature_MLUT4_PIC-233,feature_MLUT4_TE-252G,feature_MLUT4_TE-252I,feature_前爐SOx濃度,feature_鈣硫比,feature_MLUT4_FIC-231A,feature_MLUT4_IT-E7925B,feature_MLUT4_FIC-233,feature_MLUT4_ZT-232,feature_MLUT4_FT-792020,feature_MLUT4_IT-E7925A,feature_MLUT4_TE-251A,feature_MLUT4_PDT-232,feature_MLUT4_TE-251G,feature_MLUT4_FQ-205,feature_MLUT4_TE-251D,feature_MLUT4_TE-251F,feature_MLUT4_TE-251H,feature_MLUT4_RQ-2BTLS,feature_prev_target,feature_0
26,True,0.7810515714945805,0.7851443290710449,0.009048406952379962,0.00824146339754137,4.130497468813699,964.0000045697261,11.70294937233083,227.5554670955942,937.0,12.5371311780928,960.0,922.7905133086731,907.0037670955868,587.1768103254957,3.253355858336831,17.62189343820027,15.57144686571521,198.5802981793337,16.39999961853027,13903.79916361234,12.5,903.460039365789,100.5706020877134,933.325841624472,391.1679663267181,935.5428376963861,931.7099554576449,966.764289390263,3.397785172509384,0.7841044433418388,
27,False,0.7689770535498017,0.7851451635360718,0.016167275521243196,0.016167275521243196,4.130702046791927,964.0407754881064,11.70295891795877,228.2993308354339,936.9705659791296,12.53707082772402,960.0025755174554,922.7445033980764,907.5204515311059,587.9099988298676,3.226749511569114,17.62181744163125,15.47244170668605,200.8203612080947,16.39999961853027,13963.70920409125,12.5,903.5580551922114,98.65424146628028,933.0565958103095,390.9096779364684,935.5758329525627,931.7696009503495,966.9008813167422,3.36998403181516,0.7777828457966235,
28,False,0.7764368786119833,0.7855808138847351,0.008708284924088483,0.015421376461527725,4.130906624770155,964.0815464064865,11.70296846358671,228.4057327470758,936.2983846739465,12.53701047735523,960.5610534603304,922.5795220477082,907.9000244140625,586.5808697573872,3.19027609430234,17.62174144506223,15.39778685483146,202.4722982490045,16.39999961853027,13978.49366205791,12.5,903.6560710186337,97.4541541395628,932.7873499961472,390.1110053448253,935.657532200277,931.9880217028391,967.2304600949653,3.331878090599807,0.7772203784465168,
29,False,0.7794742871976436,0.7853053212165833,0.006106526687091551,0.014675477401812255,4.131111202748384,964.1223173248666,11.70297800921464,229.9280785924664,936.0,12.53695012698645,961.5420459320634,922.4112660768147,907.9000244140625,586.7315790899402,3.225487709321786,17.62166544849321,15.37907069970663,206.4563287769415,16.39999961853027,13907.53359546617,12.5,903.75423468649,96.63794079220634,932.5181041819845,387.9649355090402,935.8511165996922,932.2064424553286,967.5670562059165,3.368638962928531,0.7781622662555925,
30,False,0.785643131553617,0.7860060334205627,0.0003378103370337282,0.013929578342096783,4.131315780726613,964.1630882432466,11.70298755484258,231.9573593759008,935.9870066519061,12.53688977661767,963.5631704575824,922.2430101059208,907.8999670225569,589.9958880998328,3.162779263576641,17.62158945192419,15.36256914562682,210.4873955221109,16.39999961853027,13885.28606913696,12.49803094733057,904.0085655414572,99.46207760380261,932.3014917083605,387.2731068909366,936.0491305083444,932.4225991868094,967.9036523168677,3.303134073627002,0.7812884512983648,
31,False,0.7965486744973153,0.7863126397132874,0.010542641076752512,0.013917421743446923,4.131520358704841,964.2038591616268,11.70299710047052,233.3441867355766,935.3079648220744,12.53682942624888,965.0,922.0798291227189,907.4483342940924,591.1442699029253,3.159791098438901,17.62151345535518,15.34606759154701,213.37171052888,16.39999961853027,13883.2611196423,12.39384433650118,904.4008512183311,100.6728168141978,932.2427788592058,387.2862249120611,936.2471444169965,932.5212259493179,968.2402484278189,3.299999952316284,0.7876655587068517,
32,True,0.805933026960346,0.7936702966690063,0.019620387247058613,0.017893831384150904,4.131724936683069,964.2446300800071,11.70300664609845,232.9462537471017,934.8959330015339,12.5367690758801,964.5173214266221,921.9341314587825,907.0000255107501,589.9110251090563,3.184946772228581,17.62143745878616,15.3295660374672,212.2876819790579,16.39999961853027,13937.46312412289,12.23202161850373,904.648236316996,98.52869494522281,932.1947000314489,386.0938038625414,936.4451583256487,932.5535825914174,968.5926160345077,3.326258397882278,0.7952993662609686,
33,False,0.8092387479851699,0.7909455895423889,0.015568451316163578,0.015568451316163578,4.131929514661298,964.2854009983872,11.70301619172639,231.3020848533562,934.3807527834094,12.53670872551131,964.9264732606364,921.78990654421,907.0,588.2029528155705,3.25180723100704,17.62136146221714,15.31306448338739,210.9508839650704,16.39999961853027,13903.98726733638,12.07090793717704,904.7462733895463,97.30106691771304,932.1466212036919,384.6113492520188,936.6431722343007,932.5861236590774,968.8996334374435,3.396071622540572,0.8011245061232247,
34,False,0.8009348324254028,0.7880341410636902,0.009989242883013838,0.015010530472848605,4.132134092639527,964.3261719167673,11.70302573735433,230.0605325094872,934.0,12.53664837514253,965.9977046413545,921.645681629637,907.0,587.6065352208668,3.255581993789066,17.62128546564812,15.35038162210963,209.2442603378862,16.39999961853027,13883.25019024133,12.09159423495226,904.8443019630506,97.5761638503657,932.098542375935,384.1152548339915,936.8411861429529,932.6659522146758,968.9723914109945,3.400000095367432,0.801045243223344,
35,False,0.7954777419584367,0.7871352434158325,0.007443600894746494,0.01445260962953363,4.132338670617755,964.3669428351474,11.70303528298227,229.5958937671434,934.0000167796819,12.53658802477374,967.2780135316762,921.5014567150644,907.0,588.1417063144261,3.186257317624016,17.6212094690791,15.53930260804391,209.101631725758,16.39999961853027,13874.12194611868,12.25336470532478,904.942330536555,99.07528489098647,932.0504635481778,384.8986489137213,937.0392000516049,932.7824777827988,969.0317913986071,3.32758670421106,0.7987186354732265,
